displ	year	cyl
1.8	1999	4
1.8	1999	4
2	2008	4
2	2008	4
2.8	1999	6
2.8	1999	6
3.1	2008	6
1.8	1999	4
1.8	1999	4
2	2008	4
2	2008	4
2.8	1999	6
2.8	1999	6
3.1	2008	6
3.1	2008	6
2.8	1999	6
3.1	2008	6
4.2	2008	8
5.3	2008	8
5.3	2008	8
5.3	2008	8
5.7	1999	8
6	2008	8
5.7	1999	8
5.7	1999	8
6.2	2008	8
6.2	2008	8
7	2008	8
5.3	2008	8
5.3	2008	8
5.7	1999	8
6.5	1999	8
2.4	1999	4
2.4	2008	4
3.1	1999	6
3.5	2008	6
3.6	2008	6
2.4	1999	4
3	1999	6
3.3	1999	6
3.3	1999	6
3.3	2008	6
3.3	2008	6
3.3	2008	6
3.8	1999	6
3.8	1999	6
3.8	2008	6
4	2008	6
3.7	2008	6
3.7	2008	6
3.9	1999	6
3.9	1999	6
4.7	2008	8
4.7	2008	8
4.7	2008	8
5.2	1999	8
5.2	1999	8
3.9	1999	6
4.7	2008	8
4.7	2008	8
4.7	2008	8
5.2	1999	8
5.7	2008	8
5.9	1999	8
4.7	2008	8
4.7	2008	8
4.7	2008	8
4.7	2008	8
4.7	2008	8
4.7	2008	8
5.2	1999	8
5.2	1999	8
5.7	2008	8
5.9	1999	8
4.6	1999	8
5.4	1999	8
5.4	2008	8
4	1999	6
4	1999	6
4	1999	6
4	2008	6
4.6	2008	8
5	1999	8
4.2	1999	6
4.2	1999	6
4.6	1999	8
4.6	1999	8
4.6	2008	8
5.4	1999	8
5.4	2008	8
3.8	1999	6
3.8	1999	6
4	2008	6
4	2008	6
4.6	1999	8
4.6	1999	8
4.6	2008	8
4.6	2008	8
5.4	2008	8
1.6	1999	4
1.6	1999	4
1.6	1999	4
1.6	1999	4
1.6	1999	4
1.8	2008	4
1.8	2008	4
1.8	2008	4
2	2008	4
2.4	1999	4
2.4	1999	4
2.4	2008	4
2.4	2008	4
2.5	1999	6
2.5	1999	6
3.3	2008	6
2	1999	4
2	1999	4
2	2008	4
2	2008	4
2.7	2008	6
2.7	2008	6
2.7	2008	6
3	2008	6
3.7	2008	6
4	1999	6
4.7	1999	8
4.7	2008	8
4.7	2008	8
5.7	2008	8
6.1	2008	8
4	1999	8
4.2	2008	8
4.4	2008	8
4.6	1999	8
5.4	1999	8
5.4	1999	8
5.4	2008	8
4	1999	6
4	2008	6
4.6	2008	8
5	1999	8
2.4	1999	4
2.4	1999	4
2.5	2008	4
2.5	2008	4
3.5	2008	6
3.5	2008	6
3	1999	6
3	1999	6
3.5	2008	6
3.3	1999	6
3.3	1999	6
4	2008	6
5.6	2008	8
3.1	1999	6
3.8	1999	6
3.8	1999	6
3.8	2008	6
5.3	2008	8
2.5	1999	4
2.5	1999	4
2.5	2008	4
2.5	2008	4
2.5	2008	4
2.5	2008	4
2.2	1999	4
2.2	1999	4
2.5	1999	4
2.5	1999	4
2.5	2008	4
2.5	2008	4
2.5	2008	4
2.5	2008	4
2.7	1999	4
2.7	1999	4
3.4	1999	6
3.4	1999	6
4	2008	6
4.7	2008	8
2.2	1999	4
2.2	1999	4
2.4	2008	4
2.4	2008	4
3	1999	6
3	1999	6
3.5	2008	6
2.2	1999	4
2.2	1999	4
2.4	2008	4
2.4	2008	4
3	1999	6
3	1999	6
3.3	2008	6
1.8	1999	4
1.8	1999	4
1.8	1999	4
1.8	2008	4
1.8	2008	4
4.7	1999	8
5.7	2008	8
2.7	1999	4
2.7	1999	4
2.7	2008	4
3.4	1999	6
3.4	1999	6
4	2008	6
4	2008	6
2	1999	4
2	1999	4
2	2008	4
2	2008	4
2.8	1999	6
1.9	1999	4
2	1999	4
2	1999	4
2	2008	4
2	2008	4
2.5	2008	5
2.5	2008	5
2.8	1999	6
2.8	1999	6
1.9	1999	4
1.9	1999	4
2	1999	4
2	1999	4
2.5	2008	5
2.5	2008	5
1.8	1999	4
1.8	1999	4
2	2008	4
2	2008	4
2.8	1999	6
2.8	1999	6
3.6	2008	6
